sample_idx,sensor_idx,distance_cm,x_cm,y_cm,z_cm,pose_x_cm,pose_y_cm,pose_z_cm,heading_deg
16,8,403.910000,-373.769000,1319.300000,-108.146000,239.990000,1370.020000,29.999000,-89.000000
16,9,645.770000,912.593000,2091.556000,29.999000,239.990000,1370.020000,29.999000,-89.000000
16,10,290.910000,309.316000,1982.233000,29.999000,239.990000,1370.020000,29.999000,-89.000000
16,11,288.480000,179.378000,1977.534000,29.999000,239.990000,1370.020000,29.999000,-89.000000
16,12,641.330000,-399.480000,2065.252000,29.999000,239.990000,1370.020000,29.999000,-89.000000
16,13,971.920000,663.664000,152.797000,-138.773000,239.990000,1370.020000,29.999000,-89.000000
16,15,879.480000,731.734000,278.923000,29.999000,239.990000,1370.020000,29.999000,-89.000000
16,16,922.660000,-223.821000,220.529000,29.999000,239.990000,1370.020000,29.999000,-89.000000
17,1,534.230000,500.556000,577.709000,-152.719000,239.990000,1370.020000,29.999000,-89.000000
17,3,571.750000,-4.244000,535.762000,-165.551000,239.990000,1370.020000,29.999000,-89.000000
17,4,903.080000,-438.431000,325.930000,29.999000,239.990000,1370.020000,29.999000,-89.000000
17,5,435.300000,327.536000,651.922000,-153.967000,239.990000,1370.020000,29.999000,-89.000000
17,6,442.630000,177.675000,642.662000,-157.065000,239.990000,1370.020000,29.999000,-89.000000
17,7,403.630000,854.883000,1340.746000,-108.051000,239.990000,1370.020000,29.999000,-89.000000
17,8,403.910000,-373.769000,1319.300000,-108.146000,239.990000,1370.020000,29.999000,-89.000000
17,9,645.770000,912.593000,2091.556000,29.999000,239.990000,1370.020000,29.999000,-89.000000
17,10,290.910000,309.316000,1982.233000,29.999000,239.990000,1370.020000,29.999000,-89.000000
17,11,288.480000,179.378000,1977.534000,29.999000,239.990000,1370.020000,29.999000,-89.000000
17,12,641.330000,-399.480000,2065.252000,29.999000,239.990000,1370.020000,29.999000,-89.000000
17,13,971.920000,663.664000,152.797000,-138.773000,239.990000,1370.020000,29.999000,-89.000000
17,15,879.480000,731.734000,278.923000,29.999000,239.990000,1370.020000,29.999000,-89.000000
17,16,922.660000,-223.821000,220.529000,29.999000,239.990000,1370.020000,29.999000,-89.000000
18,1,531.470000,478.861000,563.644000,-151.775000,239.990000,1360.058000,29.999000,-90.500000
18,3,570.300000,-25.522000,533.756000,-165.055000,239.990000,1360.058000,29.999000,-90.500000
18,4,905.720000,-466.870000,331.811000,29.999000,239.990000,1360.058000,29.999000,-90.500000
18,5,433.350000,308.724000,641.683000,-153.143000,239.990000,1360.058000,29.999000,-90.500000
18,6,441.610000,158.664000,635.506000,-156.634000,239.990000,1360.058000,29.999000,-90.500000
18,7,404.050000,854.301000,1314.696000,-108.194000,239.990000,1360.058000,29.999000,-90.500000
18,8,404.390000,-375.338000,1325.427000,-108.311000,239.990000,1360.058000,29.999000,-90.500000
18,9,645.220000,930.893000,2063.323000,29.999000,239.990000,1360.058000,29.999000,-90.500000
18,10,292.130000,325.329000,1971.467000,29.999000,239.990000,1360.058000,29.999000,-90.500000
18,11,289.820000,195.314000,1970.292000,29.999000,239.990000,1360.058000,29.999000,-90.500000
18,12,640.200000,-380.343000,2070.921000,29.999000,239.990000,1360.058000,29.999000,-90.500000
18,13,939.500000,620.998000,162.259000,-133.144000,239.990000,1360.058000,29.999000,-90.500000
18,15,849.720000,695.552000,285.276000,29.999000,239.990000,1360.058000,29.999000,-90.500000
18,16,915.240000,-251.769000,230.253000,29.999000,239.990000,1360.058000,29.999000,-90.500000
19,1,531.470000,478.861000,563.644000,-151.775000,239.990000,1360.058000,29.999000,-90.500000
